"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","DRR751831","DRR751832","DRR751833","DRR751834","DRR751835","DRR751836","DRR751837","DRR751838","DRR751839","DRR751840","DRR751841"
"narH","","Respiratory nitrate reductase 1 beta chain","11","11","1","1","643","","","","1538","1538","1538","IFAABLLP_02059","KILBOEPI_01047","HAOMLHEB_01864","GMHKIMCO_02162","FEMKLHDF_03325","FAHJDOHN_03835","PKFAGLNB_02362","DHLPIOKO_03944","MMGGOMGI_02811","COBIJBHN_02826","MMKPNOMF_02830"
"group_6645","","Invasin","11","11","1","1","637","","","","1394","1394","1394","IFAABLLP_02065","KILBOEPI_01053","HAOMLHEB_01870","GMHKIMCO_02156","FEMKLHDF_03331","FAHJDOHN_03830","PKFAGLNB_02357","DHLPIOKO_03938","MMGGOMGI_02805","COBIJBHN_02832","MMKPNOMF_02836"
"srlB","","PTS system glucitol/sorbitol-specific EIIA component","11","11","1","1","2392","","","","371","371","371","IFAABLLP_01659","KILBOEPI_01421","HAOMLHEB_01454","GMHKIMCO_01568","FEMKLHDF_03257","FAHJDOHN_01916","PKFAGLNB_02260","DHLPIOKO_00714","MMGGOMGI_03788","COBIJBHN_01299","MMKPNOMF_03845"
"mioC","","Protein MioC","11","11","1","1","1226","","","","443","443","443","IFAABLLP_02364","KILBOEPI_01957","HAOMLHEB_02171","GMHKIMCO_02290","FEMKLHDF_02226","FAHJDOHN_04605","PKFAGLNB_04617","DHLPIOKO_01742","MMGGOMGI_03087","COBIJBHN_03767","MMKPNOMF_03194"
"rhtC_2","","Threonine efflux protein","11","11","1","5","63","","","","620","620","620","IFAABLLP_02873","KILBOEPI_02864","HAOMLHEB_02920","GMHKIMCO_03129","FEMKLHDF_03149","FAHJDOHN_02887","PKFAGLNB_03150","DHLPIOKO_02698","MMGGOMGI_03121","COBIJBHN_02549","MMKPNOMF_03310"
"ftsQ","","Cell division protein FtsQ","11","11","1","1","5470","","","","830","830","830","IFAABLLP_01392","KILBOEPI_03382","HAOMLHEB_01434","GMHKIMCO_01297","FEMKLHDF_01401","FAHJDOHN_00115","PKFAGLNB_00133","DHLPIOKO_00915","MMGGOMGI_01139","COBIJBHN_01086","MMKPNOMF_01141"
"rtcB2","","RNA-splicing ligase RtcB2","11","11","1","2","240","","","","470","1139","1078","IFAABLLP_00821","KILBOEPI_00507","HAOMLHEB_03260","GMHKIMCO_03426","FEMKLHDF_02740","FAHJDOHN_03552","PKFAGLNB_03478","DHLPIOKO_03236","MMGGOMGI_02519","COBIJBHN_04782","MMKPNOMF_02385"
"uidC","","Membrane-associated protein UidC","11","11","1","1","5629","","","","1265","1265","1265","IFAABLLP_00447","KILBOEPI_00681","HAOMLHEB_00774","GMHKIMCO_00745","FEMKLHDF_00064","FAHJDOHN_02491","PKFAGLNB_02890","DHLPIOKO_04083","MMGGOMGI_00063","COBIJBHN_03396","MMKPNOMF_00063"
"yfbR","","5'-deoxynucleotidase YfbR","11","11","1","1","4534","","","","599","599","599","IFAABLLP_01193","KILBOEPI_02134","HAOMLHEB_01092","GMHKIMCO_01063","FEMKLHDF_00805","FAHJDOHN_01377","PKFAGLNB_01394","DHLPIOKO_01229","MMGGOMGI_00644","COBIJBHN_00860","MMKPNOMF_00819"
"ybdO_1","","putative HTH-type transcriptional regulator YbdO","11","11","1","1","6194","","","","902","902","902","IFAABLLP_01440","KILBOEPI_02311","HAOMLHEB_02447","GMHKIMCO_02464","FEMKLHDF_02916","FAHJDOHN_01991","PKFAGLNB_02447","DHLPIOKO_02028","MMGGOMGI_02655","COBIJBHN_02185","MMKPNOMF_02763"
"fruA_1","","PTS system fructose-specific EIIB'BC component","11","11","1","1","6555","","","","1691","1691","1691","IFAABLLP_03121","KILBOEPI_03217","HAOMLHEB_01785","GMHKIMCO_01898","FEMKLHDF_00689","FAHJDOHN_00764","PKFAGLNB_00322","DHLPIOKO_04409","MMGGOMGI_00760","COBIJBHN_02906","MMKPNOMF_00703"
"ompG","","Outer membrane porin G","11","11","1","1","6305","","","","905","905","905","IFAABLLP_02190","KILBOEPI_02414","HAOMLHEB_00068","GMHKIMCO_00164","FEMKLHDF_01961","FAHJDOHN_03231","PKFAGLNB_02569","DHLPIOKO_01567","MMGGOMGI_02178","COBIJBHN_03800","MMKPNOMF_02140"
"pyrC","","Dihydroorotase","11","11","1","1","1399","","","","1046","1046","1046","IFAABLLP_02642","KILBOEPI_02530","HAOMLHEB_02253","GMHKIMCO_02674","FEMKLHDF_03049","FAHJDOHN_02754","PKFAGLNB_03057","DHLPIOKO_02320","MMGGOMGI_02856","COBIJBHN_03618","MMKPNOMF_02963"
"mazF","","Endoribonuclease toxin MazF","11","11","1","1","2297","","","","335","335","335","IFAABLLP_01569","KILBOEPI_01331","HAOMLHEB_01545","GMHKIMCO_01658","FEMKLHDF_03551","FAHJDOHN_01828","PKFAGLNB_02171","DHLPIOKO_00624","MMGGOMGI_03476","COBIJBHN_01207","MMKPNOMF_03533"
"kdsD_1","","Arabinose 5-phosphate isomerase KdsD","11","11","1","1","1587","","","","986","986","986","IFAABLLP_01984","KILBOEPI_01902","HAOMLHEB_01999","GMHKIMCO_01985","FEMKLHDF_01051","FAHJDOHN_02062","PKFAGLNB_02642","DHLPIOKO_01487","MMGGOMGI_00398","COBIJBHN_02078","MMKPNOMF_00545"
"nifJ","","Pyruvate-flavodoxin oxidoreductase","11","11","1","1","6096","","","","3524","3524","3524","IFAABLLP_03427","KILBOEPI_03653","HAOMLHEB_00156","GMHKIMCO_00076","FEMKLHDF_01994","FAHJDOHN_03619","PKFAGLNB_03662","DHLPIOKO_03310","MMGGOMGI_03393","COBIJBHN_03064","MMKPNOMF_03281"
"metE","","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","11","11","1","5","69","","","","2261","2261","2261","IFAABLLP_02879","KILBOEPI_02870","HAOMLHEB_02914","GMHKIMCO_03123","FEMKLHDF_03155","FAHJDOHN_02893","PKFAGLNB_03144","DHLPIOKO_02692","MMGGOMGI_03115","COBIJBHN_02543","MMKPNOMF_03304"
"ubiX","","Flavin prenyltransferase UbiX","11","11","1","1","4514","","","","569","569","569","IFAABLLP_01173","KILBOEPI_02154","HAOMLHEB_01072","GMHKIMCO_01043","FEMKLHDF_00825","FAHJDOHN_01357","PKFAGLNB_01414","DHLPIOKO_01209","MMGGOMGI_00624","COBIJBHN_00839","MMKPNOMF_00839"
"kdgK_2","","2-dehydro-3-deoxygluconokinase","11","11","1","3","11","","","","929","929","929","IFAABLLP_04241","KILBOEPI_04311","HAOMLHEB_03786","GMHKIMCO_03838","FEMKLHDF_04011","FAHJDOHN_03872","PKFAGLNB_03875","DHLPIOKO_04059","MMGGOMGI_04346","COBIJBHN_02440","MMKPNOMF_04461"
"pyrE","","Orotate phosphoribosyltransferase","11","11","1","1","1136","","","","641","641","641","IFAABLLP_03025","KILBOEPI_03142","HAOMLHEB_03039","GMHKIMCO_03318","FEMKLHDF_02121","FAHJDOHN_01691","PKFAGLNB_02083","DHLPIOKO_02991","MMGGOMGI_02419","COBIJBHN_01360","MMKPNOMF_02535"
"fdoG_1","","Formate dehydrogenase-O major subunit","11","11","1","4","51","","","","2414","2414","2414","IFAABLLP_03904","KILBOEPI_03996","HAOMLHEB_03913","GMHKIMCO_03996","FEMKLHDF_04647","FAHJDOHN_03055","PKFAGLNB_03265","DHLPIOKO_03744","MMGGOMGI_03850","COBIJBHN_02750","MMKPNOMF_03907"
"ttdT_1","","L-tartrate/succinate antiporter","11","11","1","1","1724","","","","1463","1463","1463","IFAABLLP_01034","KILBOEPI_00298","HAOMLHEB_00904","GMHKIMCO_00904","FEMKLHDF_00909","FAHJDOHN_00362","PKFAGLNB_00615","DHLPIOKO_00299","MMGGOMGI_00539","COBIJBHN_01486","MMKPNOMF_00404"
"cof","","HMP-PP phosphatase","11","11","1","2","121","","","","818","818","818","IFAABLLP_02786","KILBOEPI_01239","HAOMLHEB_02531","GMHKIMCO_02797","FEMKLHDF_02568","FAHJDOHN_02272","PKFAGLNB_01826","DHLPIOKO_02385","MMGGOMGI_02311","COBIJBHN_01657","MMKPNOMF_02309"
"greA","","Transcription elongation factor GreA","11","11","1","1","1603","","","","476","476","476","IFAABLLP_02001","KILBOEPI_01919","HAOMLHEB_01982","GMHKIMCO_01968","FEMKLHDF_01034","FAHJDOHN_02045","PKFAGLNB_02625","DHLPIOKO_01504","MMGGOMGI_00415","COBIJBHN_02095","MMKPNOMF_00528"
"hcaD","","3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component","11","11","1","1","3684","","","","1202","1208","1202","IFAABLLP_00340","KILBOEPI_01482","HAOMLHEB_00601","GMHKIMCO_00480","FEMKLHDF_01851","FAHJDOHN_01038","PKFAGLNB_00994","DHLPIOKO_01915","MMGGOMGI_01588","COBIJBHN_02391","MMKPNOMF_01591"
"dadX","","Alanine racemase, catabolic","11","11","1","1","602","","","","1070","1070","1070","IFAABLLP_02102","KILBOEPI_01089","HAOMLHEB_01907","GMHKIMCO_02119","FEMKLHDF_03368","FAHJDOHN_03155","PKFAGLNB_02322","DHLPIOKO_03151","MMGGOMGI_02768","COBIJBHN_02864","MMKPNOMF_02873"
"group_6669","","hypothetical protein","11","11","1","1","288","","","","719","719","719","IFAABLLP_01787","KILBOEPI_01688","HAOMLHEB_01589","GMHKIMCO_01702","FEMKLHDF_03178","FAHJDOHN_01268","PKFAGLNB_01314","DHLPIOKO_00579","MMGGOMGI_03335","COBIJBHN_03673","MMKPNOMF_02687"
"nudF","","ADP-ribose pyrophosphatase","11","11","1","1","1753","","","","629","629","629","IFAABLLP_01066","KILBOEPI_00266","HAOMLHEB_00872","GMHKIMCO_00936","FEMKLHDF_00879","FAHJDOHN_00331","PKFAGLNB_00584","DHLPIOKO_00267","MMGGOMGI_00570","COBIJBHN_01516","MMKPNOMF_00373"
"tyrP","","Tyrosine-specific transport system","11","11","1","1","5060","","","","1211","1211","1211","IFAABLLP_02406","KILBOEPI_02694","HAOMLHEB_02677","GMHKIMCO_02886","FEMKLHDF_00364","FAHJDOHN_03292","PKFAGLNB_01870","DHLPIOKO_02555","MMGGOMGI_01843","COBIJBHN_00311","MMKPNOMF_01840"
"trpA","","Tryptophan synthase alpha chain","11","11","1","1","6370","","","","806","806","806","IFAABLLP_02254","KILBOEPI_02478","HAOMLHEB_00004","GMHKIMCO_00228","FEMKLHDF_01897","FAHJDOHN_04405","PKFAGLNB_02503","DHLPIOKO_01630","MMGGOMGI_02115","COBIJBHN_03552","MMKPNOMF_02203"
"envZ","","two-component system sensor histidine kinase EnvZ","11","11","1","1","5846","","","","1352","1352","1352","IFAABLLP_00686","KILBOEPI_00946","HAOMLHEB_01246","GMHKIMCO_01223","FEMKLHDF_01578","FAHJDOHN_01524","PKFAGLNB_01608","DHLPIOKO_00841","MMGGOMGI_01380","COBIJBHN_00658","MMKPNOMF_01383"
"mglA_1","","Galactose/methyl galactoside import ATP-binding protein MglA","11","11","1","1","6575","","","","1520","1520","1520","IFAABLLP_03103","KILBOEPI_03199","HAOMLHEB_01803","GMHKIMCO_01916","FEMKLHDF_00671","FAHJDOHN_00784","PKFAGLNB_00342","DHLPIOKO_03810","MMGGOMGI_00778","COBIJBHN_02927","MMKPNOMF_00685"
"rstB","","Sensor protein RstB","11","11","1","1","5635","","","","1301","1301","1301","IFAABLLP_00441","KILBOEPI_00687","HAOMLHEB_00780","GMHKIMCO_00751","FEMKLHDF_00058","FAHJDOHN_02497","PKFAGLNB_02896","DHLPIOKO_04089","MMGGOMGI_00057","COBIJBHN_03390","MMKPNOMF_00057"
"ydcU","","Inner membrane ABC transporter permease protein YdcU","11","11","1","1","6032","","","","941","941","941","IFAABLLP_04835","KILBOEPI_05039","HAOMLHEB_04921","GMHKIMCO_00015","FEMKLHDF_02053","FAHJDOHN_04528","PKFAGLNB_04574","DHLPIOKO_04679","MMGGOMGI_04704","COBIJBHN_04092","MMKPNOMF_03222"
"dinG","","ATP-dependent DNA helicase DinG","11","11","1","1","6414","","","","2285","2285","2285","IFAABLLP_04590","KILBOEPI_04798","HAOMLHEB_04577","GMHKIMCO_04650","FEMKLHDF_03790","FAHJDOHN_00507","PKFAGLNB_00915","DHLPIOKO_03621","MMGGOMGI_03592","COBIJBHN_00257","MMKPNOMF_03660"
"pldB","","Lysophospholipase L2","11","11","1","5","65","","","","1022","1022","1022","IFAABLLP_02875","KILBOEPI_02866","HAOMLHEB_02918","GMHKIMCO_03127","FEMKLHDF_03151","FAHJDOHN_02889","PKFAGLNB_03148","DHLPIOKO_02696","MMGGOMGI_03119","COBIJBHN_02547","MMKPNOMF_03308"
"pilC","","Type IV pilus assembly protein PilC","11","11","1","1","5459","","","","1202","1202","1202","IFAABLLP_02504","KILBOEPI_02172","HAOMLHEB_02404","GMHKIMCO_02396","FEMKLHDF_01415","FAHJDOHN_00101","PKFAGLNB_00147","DHLPIOKO_02072","MMGGOMGI_01153","COBIJBHN_01100","MMKPNOMF_01155"
"cysD","","Sulfate adenylyltransferase subunit 2","11","11","1","1","2331","","","","908","908","908","IFAABLLP_01603","KILBOEPI_01365","HAOMLHEB_01511","GMHKIMCO_01624","FEMKLHDF_03312","FAHJDOHN_01860","PKFAGLNB_02203","DHLPIOKO_00658","MMGGOMGI_04760","COBIJBHN_01241","MMKPNOMF_04878"
"pdeI","","putative cyclic di-GMP phosphodiesterase PdeI","11","11","1","1","2996","","","","2348","2357","2349","IFAABLLP_01809","KILBOEPI_03404","HAOMLHEB_02740","GMHKIMCO_03011","FEMKLHDF_02397","FAHJDOHN_00542","PKFAGLNB_00880","DHLPIOKO_01312","MMGGOMGI_01970","COBIJBHN_00220","MMKPNOMF_01967"
"dcp","","Dipeptidyl carboxypeptidase","11","11","1","1","4833","","","","2045","2045","2045","IFAABLLP_05136","KILBOEPI_05376","HAOMLHEB_05306","GMHKIMCO_05306","FEMKLHDF_03749","FAHJDOHN_03773","PKFAGLNB_03786","DHLPIOKO_04954","MMGGOMGI_03556","COBIJBHN_04995","MMKPNOMF_03613"
"ais","","Lipopolysaccharide core heptose(II)-phosphate phosphatase","11","11","1","1","4570","","","","602","602","602","IFAABLLP_01232","KILBOEPI_02095","HAOMLHEB_01131","GMHKIMCO_01102","FEMKLHDF_00768","FAHJDOHN_01417","PKFAGLNB_01354","DHLPIOKO_01268","MMGGOMGI_00681","COBIJBHN_00898","MMKPNOMF_00782"
"alsT","","Amino-acid carrier protein AlsT","11","11","1","1","5568","","","","1430","1430","1430","IFAABLLP_01302","KILBOEPI_03488","HAOMLHEB_01344","GMHKIMCO_01387","FEMKLHDF_04766","FAHJDOHN_00206","PKFAGLNB_00042","DHLPIOKO_01005","MMGGOMGI_04861","COBIJBHN_00996","MMKPNOMF_04968"
"ttdB","","L(+)-tartrate dehydratase subunit beta","11","11","1","1","1725","","","","605","605","605","IFAABLLP_01035","KILBOEPI_00297","HAOMLHEB_00903","GMHKIMCO_00905","FEMKLHDF_00908","FAHJDOHN_00361","PKFAGLNB_00614","DHLPIOKO_00298","MMGGOMGI_00540","COBIJBHN_01487","MMKPNOMF_00403"
"kup","","Low affinity potassium transport system protein Kup","11","11","1","1","1221","","","","1868","1868","1868","IFAABLLP_02369","KILBOEPI_01952","HAOMLHEB_02176","GMHKIMCO_02295","FEMKLHDF_02231","FAHJDOHN_04600","PKFAGLNB_04622","DHLPIOKO_01747","MMGGOMGI_03092","COBIJBHN_03762","MMKPNOMF_03199"
"group_6689","","HTH-type transcriptional regulator","11","11","1","3","6","","","","971","971","971","IFAABLLP_04236","KILBOEPI_04316","HAOMLHEB_03791","GMHKIMCO_03833","FEMKLHDF_04016","FAHJDOHN_03867","PKFAGLNB_03870","DHLPIOKO_04064","MMGGOMGI_04341","COBIJBHN_02435","MMKPNOMF_04456"
"aaeB_2","","p-hydroxybenzoic acid efflux pump subunit AaeB","11","11","1","1","1548","","","","1967","1967","1967","IFAABLLP_01945","KILBOEPI_01863","HAOMLHEB_02038","GMHKIMCO_02024","FEMKLHDF_01089","FAHJDOHN_02101","PKFAGLNB_02681","DHLPIOKO_01448","MMGGOMGI_00360","COBIJBHN_02039","MMKPNOMF_00583"
"obgE","","GTPase ObgE/CgtA","11","11","1","1","1601","","","","1172","1172","1172","IFAABLLP_01998","KILBOEPI_01916","HAOMLHEB_01985","GMHKIMCO_01971","FEMKLHDF_01037","FAHJDOHN_02048","PKFAGLNB_02628","DHLPIOKO_01501","MMGGOMGI_00412","COBIJBHN_02092","MMKPNOMF_00531"
"chbC_1","","PTS system N,N'-diacetylchitobiose-specific EIIC component","11","11","1","1","5261","","","","1358","1358","1358","IFAABLLP_03564","KILBOEPI_01732","HAOMLHEB_00256","GMHKIMCO_02507","FEMKLHDF_00195","FAHJDOHN_02202","PKFAGLNB_02772","DHLPIOKO_02908","MMGGOMGI_00194","COBIJBHN_00489","MMKPNOMF_00194"
"cybB","","Superoxide oxidase CybB","11","11","1","1","6060","","","","530","530","530","IFAABLLP_03392","KILBOEPI_03688","HAOMLHEB_00191","GMHKIMCO_00041","FEMKLHDF_02029","FAHJDOHN_03583","PKFAGLNB_03626","DHLPIOKO_03275","MMGGOMGI_03358","COBIJBHN_03028","MMKPNOMF_03246"
"fieF","","Cation-efflux pump FieF","11","11","1","4","74","","","","902","902","902","IFAABLLP_03929","KILBOEPI_04021","HAOMLHEB_03938","GMHKIMCO_04021","FEMKLHDF_04603","FAHJDOHN_03031","PKFAGLNB_03241","DHLPIOKO_03719","MMGGOMGI_03873","COBIJBHN_02775","MMKPNOMF_03930"
"group_6695","","hypothetical protein","11","11","1","1","6071","","","","2306","2306","2306","IFAABLLP_03402","KILBOEPI_03678","HAOMLHEB_00181","GMHKIMCO_00051","FEMKLHDF_02019","FAHJDOHN_03594","PKFAGLNB_03637","DHLPIOKO_03285","MMGGOMGI_03368","COBIJBHN_03039","MMKPNOMF_03256"
"ydbH","","putative phospholipid transport protein YdbH","11","11","1","1","6092","","","","2639","2639","2639","IFAABLLP_03423","KILBOEPI_03657","HAOMLHEB_00160","GMHKIMCO_00072","FEMKLHDF_01998","FAHJDOHN_03615","PKFAGLNB_03658","DHLPIOKO_03306","MMGGOMGI_03389","COBIJBHN_03060","MMKPNOMF_03277"
"copA","","Copper-exporting P-type ATPase","11","11","1","2","159","","","","2504","2504","2504","IFAABLLP_04429","KILBOEPI_01280","HAOMLHEB_04454","GMHKIMCO_04461","FEMKLHDF_02525","FAHJDOHN_04153","PKFAGLNB_04200","DHLPIOKO_04333","MMGGOMGI_02354","COBIJBHN_01613","MMKPNOMF_02352"
"sspB","","Stringent starvation protein B","11","11","1","1","1560","","","","497","497","497","IFAABLLP_01957","KILBOEPI_01875","HAOMLHEB_02026","GMHKIMCO_02012","FEMKLHDF_01077","FAHJDOHN_02089","PKFAGLNB_02669","DHLPIOKO_01460","MMGGOMGI_00372","COBIJBHN_02051","MMKPNOMF_00571"
"yfhM","","Alpha-2-macroglobulin","11","11","1","1","3706","","","","4961","4961","4961","IFAABLLP_00316","KILBOEPI_01506","HAOMLHEB_00577","GMHKIMCO_00504","FEMKLHDF_01826","FAHJDOHN_01014","PKFAGLNB_01018","DHLPIOKO_01891","MMGGOMGI_01563","COBIJBHN_02415","MMKPNOMF_01566"
"pdeL","","Cyclic di-GMP phosphodiesterase PdeL","11","11","1","2","298","","","","935","1088","1074","IFAABLLP_00878","KILBOEPI_00450","HAOMLHEB_02839","GMHKIMCO_03048","FEMKLHDF_02699","FAHJDOHN_02585","PKFAGLNB_01697","DHLPIOKO_02219","MMGGOMGI_02560","COBIJBHN_04173","MMKPNOMF_02426"
"group_6700","","hypothetical protein","11","11","1","1","470","","","","956","956","956","IFAABLLP_00112","KILBOEPI_00088","HAOMLHEB_00348","GMHKIMCO_00319","FEMKLHDF_02308","FAHJDOHN_02971","PKFAGLNB_03371","DHLPIOKO_00113","MMGGOMGI_01703","COBIJBHN_02646","MMKPNOMF_01706"
"glrR","","Transcriptional regulatory protein GlrR","11","11","1","1","3671","","","","1334","1334","1334","IFAABLLP_00352","KILBOEPI_01469","HAOMLHEB_00613","GMHKIMCO_00468","FEMKLHDF_01864","FAHJDOHN_01052","PKFAGLNB_00980","DHLPIOKO_01927","MMGGOMGI_01601","COBIJBHN_02377","MMKPNOMF_01604"
"thiP","","Thiamine transport system permease protein ThiP","11","11","1","1","5495","","","","1610","1610","1610","IFAABLLP_01364","KILBOEPI_03354","HAOMLHEB_01406","GMHKIMCO_01325","FEMKLHDF_01373","FAHJDOHN_00143","PKFAGLNB_00105","DHLPIOKO_00943","MMGGOMGI_01111","COBIJBHN_01058","MMKPNOMF_01113"
"group_6703","","hypothetical protein","11","11","1","1","6237","","","","461","461","461","IFAABLLP_05221","KILBOEPI_05423","HAOMLHEB_05295","GMHKIMCO_05295","FEMKLHDF_04702","FAHJDOHN_02032","PKFAGLNB_02406","DHLPIOKO_05030","MMGGOMGI_04791","COBIJBHN_02226","MMKPNOMF_04851"
"guaD","","Guanine deaminase","11","11","1","1","199","","","","1316","1316","1316","IFAABLLP_01694","KILBOEPI_01596","HAOMLHEB_01681","GMHKIMCO_01794","FEMKLHDF_02776","FAHJDOHN_01177","PKFAGLNB_01223","DHLPIOKO_00487","MMGGOMGI_04255","COBIJBHN_02975","MMKPNOMF_04404"
"group_6705","","hypothetical protein","11","11","1","1","5145","","","","656","656","656","IFAABLLP_02485","KILBOEPI_02615","HAOMLHEB_03504","GMHKIMCO_03631","FEMKLHDF_00298","FAHJDOHN_02661","PKFAGLNB_01949","DHLPIOKO_02476","MMGGOMGI_00297","COBIJBHN_00376","MMKPNOMF_00297"
"aroF","","Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive","11","11","1","1","3171","","","","1070","1070","1070","IFAABLLP_04520","KILBOEPI_04684","HAOMLHEB_04501","GMHKIMCO_04543","FEMKLHDF_04317","FAHJDOHN_04653","PKFAGLNB_04679","DHLPIOKO_04655","MMGGOMGI_03686","COBIJBHN_03291","MMKPNOMF_03743"
"metH","","Methionine synthase","11","11","1","1","394","","","","3683","3683","3683","IFAABLLP_00189","KILBOEPI_00011","HAOMLHEB_00271","GMHKIMCO_00242","FEMKLHDF_02374","FAHJDOHN_03483","PKFAGLNB_03601","DHLPIOKO_00190","MMGGOMGI_01637","COBIJBHN_03536","MMKPNOMF_01640"
"tnaB","","Low affinity tryptophan permease","11","11","1","1","1261","","","","1247","1247","1247","IFAABLLP_02326","KILBOEPI_01995","HAOMLHEB_02133","GMHKIMCO_02252","FEMKLHDF_02192","FAHJDOHN_01764","PKFAGLNB_02009","DHLPIOKO_01704","MMGGOMGI_03053","COBIJBHN_01448","MMKPNOMF_03160"
"iadA","","Isoaspartyl dipeptidase","11","11","1","1","2560","","","","1172","1172","1172","IFAABLLP_02932","KILBOEPI_03063","HAOMLHEB_03121","GMHKIMCO_03260","FEMKLHDF_01273","FAHJDOHN_04629","PKFAGLNB_04643","DHLPIOKO_02830","MMGGOMGI_00904","COBIJBHN_03205","MMKPNOMF_00906"
"trmD","","tRNA (guanine-N(1)-)-methyltransferase","11","11","1","1","3178","","","","767","767","767","IFAABLLP_04514","KILBOEPI_04690","HAOMLHEB_04495","GMHKIMCO_04537","FEMKLHDF_04311","FAHJDOHN_04659","PKFAGLNB_04673","DHLPIOKO_04649","MMGGOMGI_03680","COBIJBHN_03284","MMKPNOMF_03737"
"menC","","o-succinylbenzoate synthase","11","11","1","1","4560","","","","962","962","962","IFAABLLP_01222","KILBOEPI_02105","HAOMLHEB_01121","GMHKIMCO_01092","FEMKLHDF_00778","FAHJDOHN_01406","PKFAGLNB_01365","DHLPIOKO_01258","MMGGOMGI_00671","COBIJBHN_00888","MMKPNOMF_00792"
"fadI","","3-ketoacyl-CoA thiolase FadI","11","11","1","1","1910","","","","1310","1310","1310","IFAABLLP_01143","KILBOEPI_04952","HAOMLHEB_01042","GMHKIMCO_01013","FEMKLHDF_03512","FAHJDOHN_01327","PKFAGLNB_01444","DHLPIOKO_01179","MMGGOMGI_03417","COBIJBHN_00808","MMKPNOMF_03474"
"eutE","","Acetaldehyde dehydrogenase (acetylating) EutE","11","11","1","1","3774","","","","1403","1403","1403","IFAABLLP_00243","KILBOEPI_00784","HAOMLHEB_00504","GMHKIMCO_00577","FEMKLHDF_01750","FAHJDOHN_00941","PKFAGLNB_01091","DHLPIOKO_01819","MMGGOMGI_01487","COBIJBHN_02276","MMKPNOMF_01490"
"rne","","Ribonuclease E","11","11","1","1","1377","","","","3185","3185","3185","IFAABLLP_02665","KILBOEPI_02553","HAOMLHEB_02230","GMHKIMCO_02651","FEMKLHDF_03026","FAHJDOHN_02777","PKFAGLNB_03080","DHLPIOKO_02297","MMGGOMGI_02879","COBIJBHN_03641","MMKPNOMF_02986"
"truC","","tRNA pseudouridine synthase C","11","11","1","1","2288","","","","782","782","782","IFAABLLP_01560","KILBOEPI_01322","HAOMLHEB_01554","GMHKIMCO_01667","FEMKLHDF_03560","FAHJDOHN_01818","PKFAGLNB_02161","DHLPIOKO_00615","MMGGOMGI_03485","COBIJBHN_01197","MMKPNOMF_03542"
"yqcE","","Inner membrane protein YqcE","11","11","1","1","2306","","","","1277","1277","1277","IFAABLLP_01577","KILBOEPI_01339","HAOMLHEB_01537","GMHKIMCO_01650","FEMKLHDF_03543","FAHJDOHN_01836","PKFAGLNB_02179","DHLPIOKO_00632","MMGGOMGI_03468","COBIJBHN_01215","MMKPNOMF_03525"
"dapH_2","","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase","11","11","1","1","6029","","","","809","809","809","IFAABLLP_04832","KILBOEPI_05036","HAOMLHEB_04918","GMHKIMCO_00012","FEMKLHDF_02056","FAHJDOHN_04531","PKFAGLNB_04571","DHLPIOKO_04676","MMGGOMGI_04707","COBIJBHN_04095","MMKPNOMF_03219"
"pstS","","Phosphate-binding protein PstS","11","11","1","1","1241","","","","1040","1040","1040","IFAABLLP_02345","KILBOEPI_01976","HAOMLHEB_02152","GMHKIMCO_02271","FEMKLHDF_02211","FAHJDOHN_01784","PKFAGLNB_04701","DHLPIOKO_01723","MMGGOMGI_03072","COBIJBHN_03787","MMKPNOMF_03179"
"ubiU","","Ubiquinone biosynthesis protein UbiU","11","11","1","1","1626","","","","995","995","995","IFAABLLP_00935","KILBOEPI_00398","HAOMLHEB_01003","GMHKIMCO_00805","FEMKLHDF_01007","FAHJDOHN_00459","PKFAGLNB_00712","DHLPIOKO_00398","MMGGOMGI_00442","COBIJBHN_03302","MMKPNOMF_00501"
"ybiA","","N-glycosidase YbiA","11","11","1","1","6413","","","","449","449","449","IFAABLLP_04591","KILBOEPI_04799","HAOMLHEB_04576","GMHKIMCO_04651","FEMKLHDF_03789","FAHJDOHN_00506","PKFAGLNB_00916","DHLPIOKO_03620","MMGGOMGI_03593","COBIJBHN_00258","MMKPNOMF_03659"
"yadG","","putative ABC transporter ATP-binding protein YadG","11","11","1","1","5438","","","","926","926","926","IFAABLLP_02526","KILBOEPI_02194","HAOMLHEB_02382","GMHKIMCO_02374","FEMKLHDF_01437","FAHJDOHN_00079","PKFAGLNB_00169","DHLPIOKO_02094","MMGGOMGI_01175","COBIJBHN_01123","MMKPNOMF_01177"
"ftsY","","Signal recognition particle receptor FtsY","11","11","1","1","5908","","","","1493","1496","1494","IFAABLLP_00747","KILBOEPI_00885","HAOMLHEB_01185","GMHKIMCO_01162","FEMKLHDF_01641","FAHJDOHN_01464","PKFAGLNB_01668","DHLPIOKO_00780","MMGGOMGI_01317","COBIJBHN_00720","MMKPNOMF_01320"
